term,pos,notes,is_case_sensitive,translation_zh_cn,notes_zh_cn
$,noun,,false,$,美元标志
-round,noun,,false,发,
.22,noun,,false,.22,
.30-06,adjective,,false,.30-06,
.357 Magnum,adjective,,false,.357 马格南弹,
.38 Special,adjective,,false,.38 特制弹,
00 shot,noun,,false,猎鹿弹,
10mm,adjective,,false,10mm,
10mm Auto,noun,,false,10mm Auto,
2x4,noun,also written as “two by four”,false,木板,
40mm,adjective,,false,40mm,
5.45x39mm,,,false,5.45x39mm,
5.56mm,adjective,,false,5.56mm,
50 caliber,adjective,,false,.50,
555-0164,,,false,555-0164,
7.62mm,adjective,,false,7.62mm,
8x40mm,adjective,,false,8x40mm,
9mm,adjective,,false,9mm,
9x19mm,adjective,,false,9x19mm,
ACOG,noun,Advanced Combat Optical Gunsight,false,先进战斗光学瞄准镜,
AF2011A1,noun,,false,AF2011A1,
AI,noun,artificial intelligence,false,人工智能,
ALRP,noun,,false,ALRP,
ANBC,noun,"Armored, Nuclear, Biological, Chemical (suit)",false,ANBC,
ANFO,noun,ammonium nitrate/fuel oil,false,铵油炸药,
AP,adjective,armor-piercing,false,穿甲,
APC,noun,,false,被帽穿甲,
APFSDS,,Armor-Piercing Fin-Stabilized Discarding Sabot,false,尾翼稳定脱壳穿甲弹,
Airframe and Powerplant Mechanics,,,false,,
Aleesha,noun,,false,阿莱莎,
Alumentum,noun,,false,铝合金,
Andrea Dzvonko,noun,,false,安德里亚·德赞科,
Animist,noun,,false,泛灵师,
Arabella,noun,,false,阿拉贝拉,
Armor piercing,,,false,穿甲,
Australia,noun,,true,澳大利亚,
Autodoc,noun,,false,全自动医疗仪,
BB,noun,,false,BB,
BB gun,noun,,false,BB枪,
BMG,,ammo type,false,BMG,
Barbaran Montante,noun,,true,,
Barnhoff,noun,,false,巴霍夫,
Benzete,noun,,false,本泽特,
Beretta,,,false,贝雷塔,
Biblical,noun,,true,圣经,
Biomancer,noun,,false,生化术士,
Bo Baronyx,noun,,false,博·巴罗尼克斯,
Boeing,,proper name,false,波音,
Brigitte,noun,,true,布丽吉特,
Brigitte LaCroix,noun,,false,布丽吉特·拉克鲁瓦,
C.C.B.o.t.T.,noun,,false,,
C.H.U.D.,noun,Cannibalistic Humanoid Underground Dweller,false,地下食人者,
C.R.I.T,,,false,C.R.I.T,
CB,noun,,false,CB弹,
CBM,noun,Compact Bionics Module,true,CBM,
CBMs,noun,,true,CBM,
CBRN,noun,"Chemical, biological, radiological and nuclear",false,CBRN,
CCNE,,,false,,
CDC,noun,Centers for Disease Control,false,疾控中心,
CQB,noun,,false,CQB||近距离作战,
CVD,noun,chemical vapor deposition,false,化学气相沉积,
CVD machine,noun,chemical vapor deposition machine,false,化学气相沉积仪,
Canada,noun,,false,加拿大,
Carbonetos,pronoun,,false,,
Cataclysm,noun,,true,大灾变,
Cattail,noun,,false,,
Cecaelia,noun,,false,塞卡莉亚,
Check out,,,false,,
Church of Starry Wisdom,noun,,false,星之智慧教堂,
Churninator,,,false,,
Colt,noun,,false,柯尔特,
Compact Bionics Module,noun,,false,生化插件,
Cooper,,,false,库珀,
Could be gutted for parts.,,,false,,
Craft: Armor,,,false,,
Cranberry Foster,noun,,false,克兰伯里·福斯特,
Customized,,,false,自定义||客制化,
Cyrus,noun,,false,赛勒斯,
DARPA,noun,,false,美国国防部高级研究计划局,
DEP,noun,,false,环保部,
Dana,noun,,false,达娜,
Darla Novak,noun,,false,达拉·诺瓦克,
Darren Cooper,noun,,false,达伦·库珀,
Dionne,noun,,false,迪翁,
Disassemble to unpack.,,,false,拆解以打开,
DoT,noun,,false,持续伤害,
Dr. Maiar,noun,proper name,false,迈雅博士,
EM,adjective,,false,,
EMF,noun,,false,,
EMP,,,false,电磁脉冲,
EMP,noun,Electromagnetic pulse,false,电磁脉冲,
EOD,noun,Explosive Ordnance Disposal,false,拆弹部队,
EPA,noun,Environmental Protection Agency,false,环保局,
EPA,pronoun,,false,环保局,
EPM,noun,,true,,
ESCA,noun,,true,,
EVA,noun,,true,,
Earthshaper,noun,,false,塑地者,
Eaters,,,false,,
Eddit,noun,,false,Eddit,
Ellen Grimes,noun,,false,艾伦·格里姆斯,
Embrasure,noun,,false,,
Exodii,noun,,false,流亡族,
FEMA,noun,Federal Emergency Management Agency,false,FEMA,联邦紧急事务管理局
FMJ,noun,full metal jacket,false,被甲弹,
FOB,noun,,true,,
Federal Emergency Management Agency,noun,,false,联邦紧急事务管理局,
Feral (Human),adjective,,false,,
Food Handling,,,false,,
Foodperson,noun,,false,,
Foodplace,,,false,美食广场,
Foodplace,noun,,false,美食广场,
Free Merchant,noun,,false,自由商会,
Free Merchants,noun,,false,自由商会,
FriendFace,noun,,false,FriendFace,
GMO,adjective,,false,,
Garry Villeneuve,noun,,false,加里·维伦纽夫,
Glooscap,noun,,false,格鲁斯卡普,
Great!,,,false,,
Gunny,noun,,false,甘尼,
HEAT,noun,,true,高爆反坦克榴弹,
HEDP,,,false,高爆两用弹,
HEI,,,false,高爆燃烧弹,
HGC,,,false,,
HGC,noun,,true,,
HMTD,noun,hexamethylene triperoxide diamine,false,HMTD炸药,
HP,noun,Hit Points,false,HP,
HUD,noun,,false,,
HVP,noun,High Velocity Projectile,false,高速弹,
Helena,noun,,false,海伦娜,
Hell's Raider,noun,,false,地狱掠夺者,
Hell's Raiders,,,false,地狱掠夺者,
Hell's Raiders,noun,,false,地狱掠夺者,
Hendelson,noun,,false,亨德尔森,
Homeland Security,noun,proper name,false,国土安全部,
How odd...,,,false,,
Hub 01,noun,,false,Hub 01,
Hydroponics,noun,,false,水培,
Hyperweave,,,false,,
IC,noun,,false,,
ID card,noun,,false,ID卡,
IED,,,false,,
IED,noun,improvised explosive device,false,IED,
IFF,noun,,false,,
"If false,",,,false,,
"If true,",,,false,开启时，,
If you look closely you can see some unharvested walnuts.,,,false,,
"If you see this, then something went wrong.",,,false,,
India,noun,,false,印度,
Interaction,noun,,false,交互,
It can be used to construct simple barricades.,,,false,,
It has a threaded cap to keep the contents from leaking out.,,,false,,
It is acid-resistant but rather brittle.,,,false,,
It is turned on and continually drawing power.,,,false,,
It would taste much better prepared,,,false,,
It's oddly warm to the touch,,,false,,
Italian,adjective,,false,意大利,
JHP,noun,,false,空尖弹,
JSP,noun,,false,软尖弹,Jacket Soft Point
Jabberwock,noun,,true,,
James Hawthorne,noun,,false,詹姆斯·霍桑,
Jenny,noun,,false,珍妮,
John Bailey,noun,,false,约翰·贝利,
Jonathan Farrier,noun,,false,乔纳森·法里尔,
Karate,,,false,空手道,
Kel-Tec,noun,,false,Kel-Tec||凯尔科技,
Kelvin,noun,,false,凯尔文,
Kelvinist,noun,,false,炽霜法师,
Kiernan,noun,,false,基尔南,
Killophant,noun,,false,,
Kindred,,,false,血族,
Kindred,noun,,false,,
Known for its high rate of fuel consumption.,,,false,,
Krav Maga,,,false,马伽,
LR,noun,Long Rifle,false,步枪,
LW,noun,"Short for “Leadworks, LLC”",false,LW,
LaCroix,noun,,false,拉科瓦,
LeMat,noun,,false,勒马特,
Leadworks,noun,proper name,false,Leadworks,
Leadworks LLC,noun,"proper name, spelling variant (LLC = Limited Liability Company)",false,Leadworks公司,
"Leadworks, LLC",noun,proper name (LLC = Limited Liability Company),false,Leadworks公司,
Let's build,,,false,让我们建造吧,
Let's start building,,,false,让我们开始建造吧,
Luger,noun,,false,鲁格,
Lycra,,,false,,
MBR vest,noun,Modular Bullet Resistant vest,false,MBR防弹背心,
MDF,noun,,false,,
MG,noun,machine gun,false,机关枪,
MRE,noun,"Meal, Ready-to-Eat",false,MRE,
MREs,noun,,false,MRE,
Magazine,noun,,true,弹匣||杂志,
Magellan,,,false,,
Magellan,noun,,false,麦哲伦,
Magical Throwing Blade,,,false,,
Magnum,noun,,false,马格南,
Magus,noun,,false,魔术师,
Malsumis,noun,,false,马尔苏米斯,
Manatouched,noun,,false,,
Mandrake,noun,,false,曼德瑞克,
Mark of the Seer,,,false,先知之印,
Marloss,noun,,false,马洛斯,
Marshal,noun,,false,执法官,
MatheMAX,noun,,false,MatheMAX,
Matrioshka,noun,,false,玛特廖什卡,
Matrioshka Fabritechnics,,,false,玛特廖什卡工业科技,
Melchior,,,false,,
Melchior,noun,,false,梅尔基奥尔,
Mercurial Genomics,,,false,,
Might be useful for starting a fire.,,,false,,
Millyficen Whately,noun,,false,米利菲森·沃特利,
Millyficent,noun,,false,米利菲森,
Mk. II,noun,,true,,
Much less threatening now that,,,false,,
Much less threatening now that it lies limp on solid ground,,,false,,
Much less threatening now that it lies quiet on solid ground,,,false,,
Much less threatening now that it's laid limp on solid ground.,,,false,,
Mycus,noun,,false,马卡斯,
N/A,,Not available,false,无,
NEPower,noun,power provider name,false,东北能源,
NPC,noun,Non Player Character,false,NPC,
NPCs,noun,,false,NPC,
"Necromantic magic delays immediate rot, but it won't last forever.  Piercing it with the attached needle could compel it to serve you.",,,false,死灵魔法减缓了腐烂，但也无法永远保存它。用自带的针刺穿它就能驱使它为你服务。,
New England Church Community,noun,,false,新英格兰教会社区,
New Order,,,false,,
Nomex,,,false,芳纶,
Not good for drinking.,,,false,,
OSB,noun,,false,,
Offal,noun,,false,内脏,
Old Guard,noun,faction name; remain of the US government,false,旧日守护者,
"Other vehicle components can be mounted on it, and it can be attached to other frames to increase the vehicle's size.",,,false,,
PBA mask,noun,protective breathing apparatus,false,PBA消防面具,
PPSh,,,true,波波沙,
PU,noun,power usage (bionics),false,能量,
Pankration,noun,,false,古希腊搏击,
Parabellum,noun,,false,黄铜被甲,
Peek Around Corners,verb,,false,拐角窥探,
Pocket Guide,noun,,false,口袋书,
Portal Storm,,,false,空间风暴,
Potion,,,false,药剂,
Preserves content from rot until opened.,,,false,开启前防止内容物变质,
Prozac,noun,,false,百忧解,
RDA,noun,recommended daily average,false,RDA,
RDX,noun,Research Department Explosive,false,RDX,
RMES,,,true,,
RV,noun,recreational vehicle,false,房车,
Ranged,noun,,false,,
Ray Bradbury,noun,,false,雷·布雷德伯里,
Refugee Center,noun,,false,,
Relaxation Gas,noun,,false,麻醉气体,
Rhy,noun,Rhyzaea Johnny,false,莱,
Rhyzaea,noun,,false,莱泽尔,
Rubik,noun,,false,鲁比克,
Ruger,noun,https://zh.wikipedia.org/wiki/%E6%96%AF%E7%89%B9%E5%A7%86%E2%80%93%E5%84%92%E6%A0%BC#%E5%85%B3%E4%BA%8ERuger%E7%9A%84%E4%B8%AD%E6%96%87%E5%90%8D%E7%A7%B0,false,鲁格,
SCT,noun,"Scrolling Combat Text, this is on-screen text which appears and moves after an attack.",false,战斗气泡,
SIG Sauer,noun,,false,西格&绍尔,
SMG,noun,SubMachine Gun,false,冲锋枪,
SMGs,,,true,,
SRCF,,,false,,
SRCF,noun,,false,SRCF,
STD,noun,,true,,
Saiga,,,true,,
Saritania,noun,,false,萨利塔尼亚,
Security-Restricted Contaniment Facility,,,false,,
Select,noun,,false,,
Select,verb,,false,,
Sidhu,noun,,false,西杜,
Silverstein,noun,,false,西尔弗斯坦,
Singh,noun,,false,辛格,
Siobhan,noun,,false,西沃恩,
Smokes,,,true,,
Some may be factory-sealed to increase shelf life.,,,false,,
Some sparks appear in front of you for a brief moment.,,,false,,
Spec Ops,noun,,false,,
Spoils rapidly.,,,false,,
Stacks,verb,,true,,
Stance,,,false,,
Steel Light,,,false,,
"Sterilized using radiation, so it's safe to eat.",,,false,经过辐射消毒杀菌，可以安全食用,
Steve,noun,(proper) A horse you receive for completing a quest.,false,,
Stormshaper,noun,,false,风暴塑造者,
Subspell; you aren't allowed to see it except in debug mode.Subspell; you aren't allowed to see it except in debug mode.,,,false,,
Summon,verb,,false,召唤,
Sunil Narayana,noun,,false,苏尼尔·纳拉亚纳,
Swamper,,,false,,
Sweet Providence,,,false,,
Takatoshi,noun,,false,高松,
Technomancer,noun,,false,科技法师,
The darkness around you thickens.,,,false,,
The reverse side describes protocol for using it;,,,false,,
The straight lines of surrounding objects,,,false,,
There are two distinct sets of handwriting making notes.,,,false,,
They aren'ttoo filling though,adjective,,false,,
They shiver under your touch.,,,false,,
This is a bug if you have it.,,,false,,
This is a canvas sack filled with,,,false,这是一个装满的帆布袋,
This is a skeletal frame of sturdy metal with attached motors to allow the user to move heavier loads with less strain on the body.,,,false,,
