"""Neherit, otira atvess...""","""涅赫里特，奥提拉阿特维斯…""",noun,,查找了wiki，应该是大魔方中类似于咒语的东西
"""Nerhes ashon, varath…""","""涅赫斯阿舒恩，瓦拉斯…""",noun,,同理，应该是大魔法中的咒语
"""Tvakaros, ievona karoh...""",“特瓦卡罗斯，依伊沃纳卡罗...”,noun,,大魔方咒语
"""Vathalos, arovesk…""",“瓦塔洛斯，阿罗维斯克…”,noun,,大魔法咒语
00 shot,猎鹿弹,noun,,
Accuracy,精度,noun,,原文-属性
Accuracy International,精密国际,noun,,枪支生产商
acrid fragment,难闻的磷片,noun,,奥术制作材料，怪物掉落。
adrenaline,兴奋/肾上腺素,noun,,应该翻译成兴奋
adrenaline surge,兴奋,noun,,应当是兴奋的意思
amalgam,混合怪,noun,,sec mod中的一个怪物的种类
Ammo belt,弹链,noun,,
AoE,范围伤害,noun,,
AP,穿甲弹,noun,,
arachnotron,机械蜘蛛,noun,,部分情况下指机械蜘蛛，主要位于PKS中，请甄别使用
armour piercing bullet,穿甲弹,noun,,
Assault rifle,突击步枪,noun,,
athame,仪式刀,noun,,血魔法的仪式刀，用来割自己的
augmented abomination,生物武器,noun,augmented abominations,nocts_cata_mod_DDA的生物
ball,铅芯铜被甲弹,noun,,老美的奇妙命名， 另外.50的ball是钢芯弹
bane staff,毒蛇杖,noun,,奥术施法道具。
Barbwire tattoo,铁丝网纹身,noun,barbed wire,指纹身时，在美国文化中，铁丝网纹身通常与监狱、犯罪和叛逆有关联，并且经常被用作表达个人自由和力量的符号。
Battle rifle,战斗步枪,noun,,
beyond,彼端,noun,,原版翻译
BL9-infused,BL9灌注,noun,,
Blackout,BLK,noun,,在枪械中指弹药名“BLK”，缩写为此即可。
blade,（特指）开刃器具,noun,,
blob,变形怪,noun,slime,
block,格挡,verb,blocks,
Block attempt,格挡次数,noun,Block attempts,原文
blood essence,猩血源质,noun,,
blood essences,猩血源质,noun,,
blunderbuss shot,火铳霰弹,noun,,
Bolt,"弩矢, 用在枪上时指枪栓",noun,,
bootleg walker,步行机,noun,,
browning machinegun,BMG,noun,,白朗寧M1921的12.7×99公釐（.50 BMG）彈藥由美國溫徹斯特開發，主要是對抗一戰時期德國研製的毛瑟13.2×92公釐反戰車步槍彈藥。
Brunette,深棕色/深褐色（二择一，具体请看术语词条）,noun,,如果该词汇指头发用“深棕色”，如果指眼睛则用“深褐色”。如果指其他，根据情况自译。
bullpup,无托,noun,,没有枪托（弹匣装在握把后，没有传统意义上的枪托），又译“犊牛式”
burst,短点射,noun,,若指枪械的一种射击模式，则翻译成连发射击，效果是按下扳机后，进行一次多发射击，如“三连发射击”。不建议翻译成“爆炸开火”，会让非CS：GO玩家很迷惑。
Bushytail,蓬松马尾,noun,,这个词汇如果是形容发型，则翻译成蓬松马尾。但通常这个词汇不形容头发，是指浓密的尾巴，如狐尾。
candle of warding,守护之烛,noun,,
cargo pants,工装裤,noun,,
caseless,无壳弹,noun,,
casing,弹壳,noun,,
CBM,CBM,noun,,"生化插件,直接译作CBM"
ceramic,陶瓷,noun,,
Chaos,雕文,noun,,奥术MOD，银雕文。
charges,冲撞,verb,,某些mod的怪物技能，既有位移又有伤害
Chelsea Cut,切尔西短发,noun,chelsea,切尔西发型（Chelsea haircut）是一种经典的短发发型，通常指将头顶上的头发剪成短发，两侧和后面的头发则剃成很短，看起来比较整齐利落。这种发型得名于 20 世纪 60 年代在英国伦敦的切尔西区流行起来。现在这种发型在时尚界和男士发型中仍然很受欢迎。
Chest Cross,胸前十字,noun,torso cross,"在""胸前十字纹身""""胸前交叉图案""""十字胸针纹身""中词条创建者选择了「胸前十字」，请根据贴图另择取。"
chicken walker,步行机,noun,,根据1994年的参考书《A Guide to the Star Wars Universe》（第二版）的设定，帝国AT-ST步行机因外形类似恩多鸡，被昵称为“小鸡步行机”（chicken walker）。
chitin,几丁质,noun,,
Clarity of Blood,净化血液,noun,,奥术技能名，免受寄生侵蚀。
Cleansing Flame,净化圣火,noun,,Arcana中的组织名称
copies of,表示复数书籍，不翻译,adj,,
Cosmetic wound,伤痕妆,noun,,只是一种妆容，并不会对角色健康产生影响。
couscous,蒸粗麦粉,noun,,也译作古斯米，由粗面粉制造
crimson horrors,深红色的恐怖,noun,,sec mod中被血肉侵蚀的怪物的总称。
crystallized essence,璀璨源质,noun,,
cudgel,棍子,noun,,Abrahms_MartialArts这个mod里对staff和cudgel作了区分，根据WIKI里的描述，staff是更大更重的棍棒，将其译作“棒子”也许较为合适，cudgel则相应地译作“棍子/长棍”。
curious structure,奇妙的建筑,noun,,
cut,斩击,noun,cutting,作为伤害类型时翻译为斩击
damage blocked,格挡效率,noun,,原文
dark wyrm,暗龙,noun,,就是矿洞里的那个流酸血的蚯蚓。
deathclaw,死亡爪,noun,,就是你在康科德穿上动力甲打的那玩意
dimensional focus lens,空间聚焦透镜,noun,,奥术MOD中的一个物品，似乎是任务物品。
DinoMod,恐龙世界,noun,,
dodge,闪避,verb,dodges,
Dodge attempt,闪避次数,noun,Dodge attempts,原文
dodging,闪避,verb,,闪避或躲避
dracoliches,德拉科里奇,noun,,地下室的喷火龙。
Dragonblood,龙血,noun,,
Dreads,脏辫,noun,Dreadlocks,Dreads就是Dreadlocks缩写，长发绺，又称脏辫。
droidnaught,气锤无人机,noun,,这个玩意本身是个游戏，我看介绍意译了一个名字
drum magazine,弹鼓,noun,,单独的magazine通常翻译成弹匣
Dull Essence,阴黯源质,noun,"dull essence
dull essences",
Energy Grenade,能量手雷,noun,,
engraved stone,雕文石块,noun,,奥术MOD中的一种怪物掉落的制作材料。
enthrall,俘获,noun,enthralled,这个词是说（吸血鬼）玩家在精神上迷住/俘获了某人，
Essence,源质,noun,,之前机翻成了精华
essence amplification cell,源质扩容电池,noun,,奥术MOD中的一种电池。
extended magazine,扩充弹匣,noun,,原版是这么翻译的，尊重原版
eyebot,眼球机器人,noun,,辐射：新英格兰mod里的单位，悬浮在空中的像小型旧式卫星一样的无人机。类似辐射4中巧手先生的机器人
fabric,织物/布料,noun,,由织物纤维编织而成，的大多情况翻译为织物
fabrication,制造,noun,,
Facial hair,面部毛发,noun,,
